Total Production,Vinnytsia,Volyn,Dnipropetrovsk,Donetsk,Zhytomyr,Transcarpathian,Zaporizhzhia,Ivano-Frankivsk,Kyiv,Kirovohrad,Luhansk,Lviv,Mykolaiv,Odessa,Poltava,Rivne,Sumy,Ternopil,Kharkiv,Kherson,Khmelnytskyi,Cherkasy,Chernivtsi,Chernihiv
0,,,,,,,,,,,,,,,,,,,,,,,,
1000000,274.08999993376005,448.670878531033,232.977999938176,232.977999938176,428.54451709204386,274.08999993376005,256.48366827359337,430.81837067385305,349.47199996246405,274.08999993376005,327.46435097302174,428.52563869219495,232.977999938176,232.977999938176,274.08999993376005,444.5096817643226,427.57113093759097,356.31399992492805,308.34999996688003,232.977999938176,308.34999996688003,274.08999993376005,450.0182001202544,414.3772270431422
2000000,274.09000003312,448.6708795344835,232.97800003091203,232.97800003091203,428.54451785397805,274.09000003312,256.48366906320337,430.8183714630735,349.47200001876803,274.09000003312,327.4643525134892,428.52563945390256,232.97800003091203,232.97800003091203,274.09000003312,444.50968271783876,427.5711319312045,356.314000037536,308.35000001656,232.97800003091203,308.35000001656,274.09000003312,450.01820113987276,414.37722787842887
3000000,274.09,448.6708792,232.978,232.978,428.5445176,274.09,256.48366880000003,430.8183712,349.472,274.09,327.464352,428.5256392,232.978,232.978,274.09,444.5096824,427.5711316,356.314,308.35,232.978,308.35,274.09,450.0182008,414.3772276
4000000,274.08999983440003,448.6708775275824,232.97799984544002,232.97799984544002,428.5445163301097,274.08999983440003,256.4836674839834,430.81836988463255,349.47199990616,274.08999983440003,327.46434943255423,428.5256379304872,232.97799984544002,232.97799984544002,274.08999983440003,444.50968081080634,427.5711299439774,356.31399981232005,308.3499999172,232.97799984544002,308.3499999172,274.08999983440003,450.018199100636,414.3772262078555
5000000,274.09000013248004,448.67088053793407,232.978000123648,232.978000123648,428.5445186159123,274.09000013248004,256.48366985281325,430.81837225229395,349.472000075072,274.09000013248004,327.4643540539567,428.5256402156102,232.978000123648,232.978000123648,274.09000013248004,444.50968367135494,427.5711329248182,356.31400015014395,308.35000006623994,232.978000123648,308.35000006623994,274.09000013248004,450.01820215949124,414.3772287137157
6000000,274.09,448.6708792,232.978,232.978,428.5445176,274.09,256.48366880000003,430.8183712,349.472,274.09,327.464352,428.5256392,232.978,232.978,274.09,444.5096824,427.5711316,356.314,308.35,232.978,308.35,274.09,453.84978184000005,414.3772276
7000000,274.0899999053715,448.6708782443328,232.97799991167997,232.97799991167997,428.54451687434835,274.0899999053715,256.48366804799053,430.81837044836146,349.4719999463772,274.0899999053715,327.46435053288815,428.5256384745642,232.97799991167997,232.97799991167997,274.0899999053715,448.41144634607616,427.57113065370135,356.3139998927543,308.3499999526857,232.97799991167997,308.3499999526857,274.0899999053715,458.71170292958055,414.3772268044888
8000000,274.0900000828,448.67088003620876,232.97800007727997,232.97800007727997,428.5445182349452,274.0900000828,256.4836694580083,430.8183718576837,349.47200004692,274.0900000828,327.4643532837229,428.52563983475636,232.97800007727997,232.97800007727997,274.0900000828,458.46478419364104,427.57113242801137,356.31400009384,308.3500000414,232.97800007727997,308.3500000414,274.0900000828,458.7117049366171,414.3772282960723
9000000,274.09,461.12544912000004,232.978,232.978,428.5445176,274.09,256.4836688,430.81837119999994,349.472,274.09,327.464352,428.52563919999994,232.978,232.978,274.09,461.501236,427.5711316,356.314,308.35,232.978,308.35,274.09,458.711704,414.37722759999997
